"Internet users, total number",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Czech Rep.,0,,,59992,129984,149999,200053,300200,400449,701068,1001809,1502889,2443133,3498369,3621591,3604819,4917041,5355814,6534623,6726321,7220732,
Denmark,5001,10004,20011,30023,70066,200211,300335,600694,1201364,1627646,2091612,2300829,3450551,4106210,4370447,4484048,4716051,4650401,4673815,4797801,4924086,
Djibouti,0,,,,,100,201,552,652,753,1424,2575,3727,4880,6202,7709,10461,13599,19337,34884,57767,
Dominica,0,,,,,392,830,,2060,2053,6141,9198,12769,16345,20947,26566,27067,27561,28054,28541,32151,
Dominican Rep.,0,,,,,1364,6040,11687,19473,93441,318306,386520,604634,710492,809422,1063834,1395169,1683343,2012242,2715687,3924270,
Ecuador,0,,549,1796,3892,4990,9981,12977,14982,100025,180508,335195,543994,579294,638575,804813,982059,1495770,2642667,3508345,4194774,
Egypt,0,,,586,3896,19438,38798,58088,96649,193022,433806,577933,1908750,2887025,3752003,8680588,9485957,12349122,14106026,19355094,21691776,
El Salvador,0,,,,,,5003,15004,24997,49974,69941,89490,113776,150213,192921,254122,334097,372763,617867,746027,984686,
Equatorial Guinea,0,,,,,,,196,461,491,689,888,1781,2977,4977,6988,8005,10027,12054,14508,42024,
Eritrea,0,,,0,0,0,0,301,301,902,5014,6017,9025,30081,50137,80233,100321,120437,200869,,283699,
Estonia,0,,1000,4503,17014,40037,50047,80070,150110,200107,391718,429664,563279,612706,717375,827029,853599,888848,947286,972681,993785,
Ethiopia,0,,,,,10,1001,3004,6008,8010,10010,25012,49987,74898,112659,163128,236030,287558,357509,438414,622122,
Faeroe Islands,0,,,,,0,1007,2013,5029,10050,15057,20048,25021,27967,31880,32768,33622,36905,36725,36556,36628,
Fiji,0,,,50,61,71,506,1772,5070,7605,12150,15138,50226,54970,60720,69536,79493,91026,102925,114637,127544,
Finland,20000,70000,95000,130000,250000,710000,860009,1000032,1311066,1667071,1927001,2235091,3244678,3606774,3783150,3905986,4194845,4273610,4448177,4406241,4661254,
France,29929,79803,159587,339088,518584,947462,1500227,2479409,3696826,5361268,8448514,15635144,18039953,21750456,23723605,26149202,28767899,40807003,43891158,44697966,50292729,
French Polynesia,0,,,,,,200,482,3016,8054,15107,15094,20091,35079,45001,54905,64808,74719,89600,119388,132674,
Gabon,0,,,,,,0,551,2004,3005,15023,17023,25030,35040,40044,67073,76695,82101,90064,98993,108845,
Gambia,0,,,,,104,411,611,2525,9021,11956,17855,24724,34549,48313,57125,81041,98744,112564,128316,159012,
Georgia,0,,,,,600,2000,3001,5001,20006,23005,46495,73456,116935,175642,272178,334406,364758,439841,877788,1170754,
Germany,99578,199348,349460,375202,751827,1505648,2511060,5524971,8134458,17164904,24882867,26075391,40243315,46108618,53418007,56713742,59558077,62019249,64330711,65100238,67488021,
Ghana,0,,,,,59,985,4917,5894,19632,29441,39266,167006,245900,362586,396268,603743,874428,993380,1296047,2329419,
Gibraltar,0,,,,,,,725,1137,1616,5232,5846,6625,8047,9469,11360,13244,15120,16986,19038,19009,
Greece,0,4999,4999,19993,39989,79998,150066,200221,350683,752212,1004073,1206395,1624458,1977771,2387743,2683947,3618224,4038551,4313470,4802477,5043550,
Greenland,0,,,,36,30,1000,4434,8187,12102,17841,20000,25000,30999,31999,33001,34002,35003,36007,36004,36096,
Grenada,0,0,0,0,0,0,300,1001,1503,2507,4126,5217,15047,19054,20051,21048,22046,23041,24043,25035,34961,
Guam,0,,,,500,960,2000,3500,6800,13000,24999,39998,49999,54999,59999,64998,74996,79994,84993,89994,,
Guatemala,0,,,,,300,2002,10007,50033,65040,80046,200113,400238,550347,632643,724878,847269,975195,1136340,1305127,1510838,
Guinea,0,,,,10,51,152,304,503,5002,7963,14873,34594,39432,45231,49028,58662,73117,87944,91755,99816,
Guinea-Bissau,0,,,,,,,192,287,1432,2855,3789,13192,17805,24244,26005,28708,31422,34234,34183,37123,
Guyana,0,,,,,,480,962,1929,29014,48469,97115,,,,,,,136787,179970,225593,
Haiti,0,,,,,,601,,2002,6003,19994,29966,79830,149504,497598,596000,644202,691809,739961,799004,836435,
Honduras,0,,,,,2050,2494,9979,17963,34932,74858,89832,168247,317248,377615,447151,547386,672929,701063,730092,842898,
"Hong Kong, China",0,7084,50242,79724,168389,197763,297671,674685,954778,1420892,1887645,2640819,2945442,3561209,3839564,3874810,4154457,4453561,4619887,4849655,5078296,
Hungary,0,350,5006,20015,50014,69994,99967,199904,399784,599692,714705,1479684,1693551,2192095,2804623,3930879,4736247,5352691,5612256,6182389,6516325,
Iceland,0,1300,4000,7000,18000,30000,39995,74972,99947,114965,125056,140272,226903,240877,245772,258166,269434,276983,282706,293455,304129,
India,0,,1013,2025,10122,252974,455256,708073,1415953,2831310,5559655,7072638,16742760,18650651,22191839,27225079,32460715,46371879,52159829,61836309,91846075,
Indonesia,0,,,,2082,52062,114526,399690,530628,935988,1975111,4364314,4674320,5295346,5840412,8187517,10955189,13450875,18602209,20647906,23747223,
Iran,0,,,,240,2498,9625,28968,63016,243338,610421,984240,3109384,4719209,5160110,5648293,6182991,6764942,7402423,8096282,9616572,
Iraq,0,,,,,,,,,,,24552,126165,155490,239567,246235,267999,269333,298211,325681,791790,
Ireland,0,2009,6023,10025,20027,40023,80021,150033,300094,410121,678993,894505,1017399,1376005,1511292,1730161,2316928,2598357,2844163,2972928,3122225,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,
Israel,4985,9964,14931,19886,29797,49611,118973,247721,594214,791705,1255549,1065538,1108794,1244593,1473532,1663959,1883406,3330549,4212131,4583111,4985165,
Italy,9971,19936,39857,69727,109547,298748,582644,1295197,2591588,8177531,13170039,15570838,16122682,16803802,19366881,20534922,22445290,24268110,26669676,29419418,32503695,
Jamaica,0,,,,898,2695,14688,20016,50132,60259,80438,100605,160184,206409,266490,343252,442199,571608,641987,663578,715415,
Japan,24809,49619,119086,496193,992389,1984771,5458137,11462237,16811230,26852833,37704452,48509407,58731229,61117628,78803167,84583506,86862682,94001006,95414659,98710330,98951089,
Jordan,0,,,,,1018,2027,27610,61142,120069,126628,231053,301179,431494,607463,690873,762014,1133489,1345259,1566654,2351146,
Kazakhstan,0,,,,84,1800,5000,10003,20008,70024,100000,149889,249569,299243,398977,449344,500464,622139,1722088,2883079,5448965,
Kenya,0,,,,,200,2492,9959,14926,34805,99405,198803,397694,994519,1049230,1104728,2752918,2980077,3334085,3962004,10492785,
Kiribati,0,,,,,,,,500,1000,1500,2000,2179,2663,3164,3680,4209,5703,6757,7842,8959,
"Korea, Dem. Rep.",0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Korea, Rep.",9999,20005,43032,110120,138137,366090,730089,1628562,3085402,10774894,20556468,26155174,27573995,30539268,34045918,34577433,36916099,37429496,38664500,39138561,40329660,
Kosovo,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0,,,1636,2483,3303,13931,36506,53835,88333,130642,171856,212135,476463,501986,586971,677008,772693,872989,975166,1046800,
Kyrgyzstan,0,,,,,,,,3512,10029,51600,149785,150044,195765,255454,531154,625649,721032,817044,,1066845,
Laos,0,,,,,,,,495,1973,5904,9826,14726,18639,20483,48924,68340,97275,213781,366729,434063,
